timestamp,device,mode,frequency_hz,amplitude_dbfs,L_rms_dbfs,R_rms_dbfs,L_peak_dbfs,R_peak_dbfs,L_crest,R_crest,balance_db,L_thd_pct,R_thd_pct
2026-03-16T11:11:46,turquoise,R_only,13036.73,-12,-33.9,-19.54,-33.8,-16.16,1.012,1.475,-14.368,0.0,0.0
2026-03-16T11:11:48,turquoise,both,13036.73,-12,-19.42,-19.54,-15.46,-16.16,1.579,1.476,0.114,0.0,0.0
2026-03-16T11:11:50,turquoise,L_only,20000.0,-12,-21.21,-43.65,-17.08,-43.27,1.61,1.045,22.437,0.0,0.0
2026-03-16T11:11:52,turquoise,R_only,20000.0,-12,-33.91,-21.4,-33.8,-17.94,1.012,1.49,-12.507,0.0,0.0
2026-03-16T11:11:54,turquoise,both,20000.0,-12,-21.21,-21.4,-17.08,-17.94,1.609,1.49,0.186,0.0,0.0
2026-03-16T11:11:56,turquoise,L_only,20.0,-18,-32.76,-43.59,-28.87,-43.23,1.565,1.043,10.83,0.174,85.428
2026-03-16T11:11:58,turquoise,R_only,20.0,-18,-33.9,-38.0,-33.77,-33.16,1.014,1.745,4.1,130.559,0.21
2026-03-16T11:12:00,turquoise,both,20.0,-18,-32.77,-38.01,-28.89,-33.19,1.564,1.742,5.236,0.156,0.178
2026-03-16T11:12:02,turquoise,L_only,25.96,-18,-32.18,-43.58,-27.88,-43.23,1.64,1.042,11.4,0.121,112.268
2026-03-16T11:12:04,turquoise,R_only,25.96,-18,-33.9,-36.36,-33.77,-31.65,1.015,1.721,2.464,82.82,0.163
2026-03-16T11:12:06,turquoise,both,25.96,-18,-32.19,-36.37,-27.88,-31.64,1.641,1.723,4.18,0.13,0.163
2026-03-16T11:12:08,turquoise,L_only,33.69,-18,-31.39,-43.6,-26.81,-43.27,1.693,1.039,12.214,0.109,111.298
2026-03-16T11:12:10,turquoise,R_only,33.69,-18,-33.91,-34.62,-33.8,-30.08,1.013,1.686,0.705,87.003,0.138
2026-03-16T11:12:12,turquoise,both,33.69,-18,-31.39,-34.62,-26.82,-30.08,1.694,1.686,3.222,0.112,0.13
2026-03-16T11:12:14,turquoise,L_only,43.73,-18,-30.43,-43.58,-25.69,-43.23,1.725,1.042,13.15,0.078,51.548
2026-03-16T11:12:16,turquoise,R_only,43.73,-18,-33.91,-32.87,-33.8,-28.51,1.013,1.652,-1.04,109.681,0.105
2026-03-16T11:12:18,turquoise,both,43.73,-18,-30.43,-32.87,-25.69,-28.52,1.726,1.651,2.44,0.078,0.096
2026-03-16T11:12:20,turquoise,L_only,56.75,-18,-29.37,-43.59,-24.58,-43.23,1.736,1.043,14.225,0.058,59.634
2026-03-16T11:12:22,turquoise,R_only,56.75,-18,-33.91,-31.21,-33.79,-27.03,1.014,1.618,-2.693,89.617,0.075
2026-03-16T11:12:24,turquoise,both,56.75,-18,-29.38,-31.22,-24.58,-27.04,1.736,1.617,1.839,0.06,0.075
2026-03-16T11:12:27,turquoise,L_only,73.66,-18,-28.33,-43.63,-23.55,-43.27,1.733,1.042,15.299,0.039,61.105
2026-03-16T11:12:29,turquoise,R_only,73.66,-18,-33.9,-29.74,-33.79,-25.7,1.013,1.592,-4.162,128.838,0.053
2026-03-16T11:12:31,turquoise,both,73.66,-18,-28.33,-29.74,-23.56,-25.7,1.732,1.592,1.407,0.04,0.046
2026-03-16T11:12:33,turquoise,L_only,95.6,-18,-27.4,-43.63,-22.67,-43.3,1.723,1.038,16.232,0.019,63.599
2026-03-16T11:12:35,turquoise,R_only,95.6,-18,-33.9,-28.5,-33.77,-24.57,1.015,1.572,-5.409,55.67,0.033
2026-03-16T11:12:37,turquoise,both,95.6,-18,-27.4,-28.5,-22.67,-24.57,1.723,1.572,1.098,0.023,0.031
2026-03-16T11:12:39,turquoise,L_only,124.07,-18,-26.64,-43.6,-21.96,-43.27,1.714,1.039,16.963,0.013,61.495
2026-03-16T11:12:41,turquoise,R_only,124.07,-18,-33.9,-27.52,-33.79,-23.67,1.013,1.559,-6.38,71.088,0.017
2026-03-16T11:12:43,turquoise,both,124.07,-18,-26.64,-27.53,-21.97,-23.67,1.713,1.558,0.884,0.014,0.018
2026-03-16T11:12:45,turquoise,L_only,161.03,-18,-26.06,-43.61,-21.44,-43.27,1.703,1.04,17.544,0.008,52.118
2026-03-16T11:12:47,turquoise,R_only,161.03,-18,-33.9,-26.81,-33.79,-23.01,1.013,1.548,-7.091,46.995,0.009
2026-03-16T11:12:49,turquoise,both,161.03,-18,-26.07,-26.81,-21.44,-23.01,1.703,1.549,0.746,0.01,0.01
2026-03-16T11:12:51,turquoise,L_only,209.0,-18,-25.66,-43.6,-21.08,-43.27,1.695,1.039,17.936,0.009,44.914
2026-03-16T11:12:53,turquoise,R_only,209.0,-18,-33.91,-26.32,-33.79,-22.56,1.014,1.541,-7.592,99.951,0.007
2026-03-16T11:12:55,turquoise,both,209.0,-18,-25.66,-26.32,-21.08,-22.56,1.694,1.541,0.656,0.008,0.007
2026-03-16T11:12:57,turquoise,L_only,271.26,-18,-25.4,-43.59,-20.84,-43.23,1.69,1.042,18.188,0.008,45.117
2026-03-16T11:12:59,turquoise,R_only,271.26,-18,-33.92,-26.0,-33.79,-22.26,1.015,1.537,-7.921,53.568,0.009
2026-03-16T11:13:01,turquoise,both,271.26,-18,-25.4,-26.0,-20.85,-22.26,1.689,1.537,0.595,0.008,0.008
2026-03-16T11:13:03,turquoise,L_only,352.06,-18,-25.24,-43.61,-20.7,-43.23,1.686,1.045,18.371,0.009,67.314
2026-03-16T11:13:05,turquoise,R_only,352.06,-18,-33.92,-25.8,-33.8,-22.08,1.013,1.535,-8.119,72.896,0.008
2026-03-16T11:13:08,turquoise,both,352.06,-18,-25.24,-25.8,-20.7,-22.08,1.686,1.535,0.559,0.008,0.007
2026-03-16T11:13:10,turquoise,L_only,456.94,-18,-25.14,-43.62,-20.61,-43.27,1.685,1.041,18.474,0.009,81.421
2026-03-16T11:13:12,turquoise,R_only,456.94,-18,-33.91,-25.68,-33.81,-21.96,1.011,1.534,-8.234,96.758,0.009
2026-03-16T11:13:14,turquoise,both,456.94,-18,-25.14,-25.68,-20.61,-21.96,1.684,1.534,0.535,0.01,0.008
2026-03-16T11:13:16,turquoise,L_only,593.05,-18,-25.09,-43.58,-20.56,-43.27,1.684,1.037,18.491,0.01,54.722
2026-03-16T11:13:18,turquoise,R_only,593.05,-18,-33.91,-25.62,-33.79,-21.91,1.015,1.532,-8.297,77.074,0.009
2026-03-16T11:13:20,turquoise,both,593.05,-18,-25.1,-25.62,-20.57,-21.91,1.684,1.532,0.523,0.01,0.008
2026-03-16T11:13:22,turquoise,L_only,769.71,-18,-25.08,-43.58,-20.55,-43.23,1.683,1.042,18.502,0.009,54.534
2026-03-16T11:13:24,turquoise,R_only,769.71,-18,-33.91,-25.6,-33.77,-21.89,1.015,1.533,-8.307,69.582,0.009
2026-03-16T11:13:26,turquoise,both,769.71,-18,-25.08,-25.6,-20.56,-21.89,1.683,1.533,0.519,0.01,0.011
